 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).
2018  33 02:27:30      19.17     -10.11       5.93 10:08:47
2018  33 02:28:30      19.17     -10.11       5.94 10:08:50
2018  33 02:29:30      19.18     -10.10       5.94 10:08:53
2018  33 02:30:30      19.19     -10.10       5.94 10:08:56
2018  33 02:31:30      19.20     -10.10       5.94 10:09:00
2018  33 02:32:30      19.21     -10.10       5.95 10:09:02
2018  33 02:33:30      19.21     -10.10       5.95 10:09:05
2018  33 02:34:30      19.22     -10.10       5.95 10:09:08
2018  33 02:35:30      19.23     -10.10       5.96 10:09:10
2018  33 02:36:30      19.24     -10.10       5.96 10:09:13
2018  33 02:37:30      19.24     -10.10       5.96 10:09:16
2018  33 02:38:30      19.25     -10.09       5.96 10:09:19
2018  33 02:39:30      19.26     -10.09       5.97 10:09:22
2018  33 02:40:30      19.27     -10.09       5.97 10:09:25
2018  33 02:41:30      19.28     -10.09       5.97 10:09:28
2018  33 02:42:30      19.28     -10.09       5.97 10:09:31
2018  33 02:43:30      19.29     -10.09       5.98 10:09:34
2018  33 02:44:30      19.30     -10.09       5.98 10:09:37
2018  33 02:45:30      19.31     -10.09       5.98 10:09:40
2018  33 02:46:30      19.31     -10.09       5.98 10:09:43
2018  33 02:47:30      19.32     -10.08       5.99 10:09:46
2018  33 02:48:30      19.33     -10.08       5.99 10:09:49
2018  33 02:49:30      19.34     -10.08       5.99 10:09:51
2018  33 02:50:30      19.35     -10.08       5.99 10:09:54
2018  33 02:51:30      19.35     -10.08       6.00 10:09:57
2018  33 02:52:30      19.36     -10.08       6.00 10:10:00
2018  33 02:53:30      19.37     -10.08       6.00 10:10:03
2018  33 02:54:30      19.38     -10.08       6.00 10:10:06
2018  33 02:55:30      19.38     -10.07       6.01 10:10:09
2018  33 02:56:30      19.39     -10.07       6.01 10:10:12
2018  33 02:57:30      19.40     -10.07       6.01 10:10:15
2018  33 02:58:30      19.41     -10.07       6.01 10:10:18
2018  33 02:59:30      19.41     -10.07       6.02 10:10:20
2018  33 03:00:30      19.42     -10.07       6.02 10:10:23
2018  33 03:01:30      19.43     -10.07       6.02 10:10:26
2018  33 03:02:30      19.44     -10.07       6.02 10:10:29
2018  33 03:03:30      19.45     -10.07       6.03 10:10:32
2018  33 03:04:30      19.45     -10.06       6.03 10:10:35
2018  33 03:05:30      19.46     -10.06       6.03 10:10:38
2018  33 03:06:30      19.47     -10.06       6.03 10:10:41
2018  33 03:07:30      19.48     -10.06       6.04 10:10:43
2018  33 03:08:30      19.48     -10.06       6.04 10:10:46
2018  33 03:09:30      19.49     -10.06       6.04 10:10:49
2018  33 03:10:30      19.50     -10.06       6.04 10:10:52
2018  33 03:11:30      19.51     -10.06       6.05 10:10:55
2018  33 03:12:30      19.51     -10.05       6.05 10:10:58
2018  33 03:13:30      19.52     -10.05       6.05 10:11:01
2018  33 03:14:30      19.53     -10.05       6.05 10:11:04
2018  33 03:15:30      19.54     -10.05       6.06 10:11:06
2018  33 03:16:30      19.54     -10.05       6.06 10:11:09
